system_id,system_short,system,module_id,module,module_original,audit_status,evidence_strength,n_genes,n_cpg_rows,citation_keys,evidence_note,deep_search_url
3,steroidogenesis,Steroidogenesis (adrenal & gonadal),3.6,Neurosteroid metabolism and membrane-associated progesterone signaling,Neurosteroid branch,renamed_for_mechanistic_precision,Moderate,3,59,[Mil11]; [Pen97],CYP7B1 and SULT2B1 are steroid-metabolic enzymes whereas PGRMC1 is a membrane-associated progesterone-binding/signaling protein; 'neurosteroid branch' was underspecified.,https://app.undermind.ai/projects/4a4c1774-bd88-462d-889b-015f29a373b5?path=/Neuroendocrine%20endocrine%20module%20evidence
4,sex_steroids,Sex steroids: receptors & metabolism,4.1,Androgen receptor signaling and canonical targets,Androgen receptor and target genes,renamed_for_mechanistic_precision,High,6,94,[Bea00]; [Mil11],AR is grouped with pioneer factor FOXA1 and well-established androgen-responsive target genes; 'receptor and targets' is retained conceptually but made explicitly signaling-oriented.,https://app.undermind.ai/projects/4a4c1774-bd88-462d-889b-015f29a373b5?path=/Neuroendocrine%20endocrine%20module%20evidence
4,sex_steroids,Sex steroids: receptors & metabolism,4.2,Estrogen/progesterone receptor signaling and targets,Estrogen and progesterone receptors and targets,renamed_for_mechanistic_precision,High,6,137,[Bea00]; [Mil11],"The set mixes nuclear estrogen/progesterone receptors, GPER1, and hormone-responsive targets; the revised wording matches those roles.",https://app.undermind.ai/projects/4a4c1774-bd88-462d-889b-015f29a373b5?path=/Neuroendocrine%20endocrine%20module%20evidence
4,sex_steroids,Sex steroids: receptors & metabolism,4.3,Nuclear-receptor coregulators and pioneer factors,Nuclear-receptor coregulators and pioneer factors,supported_as_named,High,10,259,[Bea00]; [Fad23],Retained after audit: the locked genes form a coherent subprocess matching the original module label.,https://app.undermind.ai/projects/4a4c1774-bd88-462d-889b-015f29a373b5?path=/Neuroendocrine%20endocrine%20module%20evidence
4,sex_steroids,Sex steroids: receptors & metabolism,4.4,Aromatization and steroid 5α-reduction,Aromatisation and 5-alpha reduction,renamed_for_mechanistic_precision,High,5,46,[Mil11]; [Pay04],"CYP19A1 catalyzes aromatization, while SRD5A1/2/3 and AKR1D1 participate in steroid 5α-reduction/metabolism; this avoids implying one substrate class.",https://app.undermind.ai/projects/4a4c1774-bd88-462d-889b-015f29a373b5?path=/Neuroendocrine%20endocrine%20module%20evidence
4,sex_steroids,Sex steroids: receptors & metabolism,4.5,17-beta HSD interconversion,17-beta HSD interconversion,supported_as_named,High,8,60,[Pen97]; [Mil11],Retained after audit: the locked genes form a coherent subprocess matching the original module label.,https://app.undermind.ai/projects/4a4c1774-bd88-462d-889b-015f29a373b5?path=/Neuroendocrine%20endocrine%20module%20evidence
4,sex_steroids,Sex steroids: receptors & metabolism,4.6,"AKR1C reductases (androgen, progesterone, neurosteroid)","AKR1C reductases (androgen, progesterone, neurosteroid)",supported_as_named,High,4,17,[Pen97]; [Mil11],Retained after audit: the locked genes form a coherent subprocess matching the original module label.,https://app.undermind.ai/projects/4a4c1774-bd88-462d-889b-015f29a373b5?path=/Neuroendocrine%20endocrine%20module%20evidence
4,sex_steroids,Sex steroids: receptors & metabolism,4.7,"Conjugation, hydrolysis and circulating transport","Conjugation, hydrolysis and circulating transport",supported_as_named,High,9,62,[Mil11]; [Pen97],Retained after audit: the locked genes form a coherent subprocess matching the original module label.,https://app.undermind.ai/projects/4a4c1774-bd88-462d-889b-015f29a373b5?path=/Neuroendocrine%20endocrine%20module%20evidence
4,sex_steroids,Sex steroids: receptors & metabolism,4.8,Oxidative estrogen metabolism,Oxidative estrogen metabolism,supported_as_named,High,3,30,[Mil11]; [Pay04],Retained after audit: the locked genes form a coherent subprocess matching the original module label.,https://app.undermind.ai/projects/4a4c1774-bd88-462d-889b-015f29a373b5?path=/Neuroendocrine%20endocrine%20module%20evidence
5,hpg,"HPG axis, puberty & KNDy",5.1,KNDy/puberty timing and neuroendocrine gate,KNDy neurons and the pubertal gate,renamed_for_mechanistic_precision,Moderate,11,110,[Leh10]; [Sko14]; [Oak09],"The genes include canonical KISS1/TAC3/TACR3 circuitry plus puberty-timing and GnRH-development modifiers such as LIN28A/B, IGSF10 and HS6ST1; a broader gate/timing label fits the locked set.",https://app.undermind.ai/projects/4a4c1774-bd88-462d-889b-015f29a373b5?path=/Neuroendocrine%20endocrine%20module%20evidence
5,hpg,"HPG axis, puberty & KNDy",5.2,GnRH neuron specification and migration,GnRH neuron specification and migration,supported_as_named,High,18,166,[Kap17]; [Sko14],Retained after audit: the locked genes form a coherent subprocess matching the original module label.,https://app.undermind.ai/projects/4a4c1774-bd88-462d-889b-015f29a373b5?path=/Neuroendocrine%20endocrine%20module%20evidence
5,hpg,"HPG axis, puberty & KNDy",5.3,Pituitary gonadotrope GnRH reception and FSH synthesis,P - pituitary gonadotrope,renamed_for_mechanistic_precision,High,3,8,[Tha09]; [Kap17],"GNRHR, FSHB and the common glycoprotein α-subunit CGA specifically capture GnRH reception and FSH/glycoprotein hormone synthesis; LHB is not in the locked set.",https://app.undermind.ai/projects/4a4c1774-bd88-462d-889b-015f29a373b5?path=/Neuroendocrine%20endocrine%20module%20evidence
5,hpg,"HPG axis, puberty & KNDy",5.4,G - gonadal gonadotropin receptors,G - gonadal gonadotropin receptors,supported_as_named,High,2,15,[The00]; [Kap17],Retained after audit: the locked genes form a coherent subprocess matching the original module label.,https://app.undermind.ai/projects/4a4c1774-bd88-462d-889b-015f29a373b5?path=/Neuroendocrine%20endocrine%20module%20evidence
5,hpg,"HPG axis, puberty & KNDy",5.5,Inhibin/activin/AMH and gonadal TGF-β-family signaling,"Inhibin, activin and AMH negative feedback",renamed_for_mechanistic_precision,High,11,79,[Kap17]; [Ace18],"INH/ACVR/FSTL3 genes fit inhibin-activin feedback, but BMP15 and GDF9 are gonadal TGF-β-family paracrine factors rather than simple negative-feedback components.",https://app.undermind.ai/projects/4a4c1774-bd88-462d-889b-015f29a373b5?path=/Neuroendocrine%20endocrine%20module%20evidence
5,hpg,"HPG axis, puberty & KNDy",5.6,Gonadal sex determination and differentiation,Gonadal sex determination and differentiation,supported_as_named,High,10,116,[Kap17]; [Mcc21],Retained after audit: the locked genes form a coherent subprocess matching the original module label.,https://app.undermind.ai/projects/4a4c1774-bd88-462d-889b-015f29a373b5?path=/Neuroendocrine%20endocrine%20module%20evidence
6,libido,Libido & sexual function,6.1,Nitric oxide - cGMP vasodilatory pathway,Nitric oxide - cGMP vasodilatory pathway,supported_as_named,High,8,109,[Lin05]; [Mes00],Retained after audit: the locked genes form a coherent subprocess matching the original module label.,https://app.undermind.ai/projects/4a4c1774-bd88-462d-889b-015f29a373b5?path=/Neuroendocrine%20endocrine%20module%20evidence
6,libido,Libido & sexual function,6.2,Arginine supply and methylarginine control,Arginine supply and methylarginine control,supported_as_named,High,7,84,[Lin05]; [Mes00],Retained after audit: the locked genes form a coherent subprocess matching the original module label.,https://app.undermind.ai/projects/4a4c1774-bd88-462d-889b-015f29a373b5?path=/Neuroendocrine%20endocrine%20module%20evidence
6,libido,Libido & sexual function,6.3,Prolactin receptor–JAK2/STAT5 signaling in reproductive/sexual physiology,Prolactin and the sexual refractory period,renamed_to_remove_causal_overclaim,High,5,57,[Val20]; [Nap21]; [Kru02],"PRL/PRLR/JAK2/STAT5 form a coherent prolactin-signaling module, but experimental evidence does not support prolactin as a necessary or sufficient causal switch for the post-ejaculatory refractory period.",https://app.undermind.ai/projects/4a4c1774-bd88-462d-889b-015f29a373b5?path=/Neuroendocrine%20endocrine%20module%20evidence
6,libido,Libido & sexual function,6.4,Galanin signalling,Galanin signalling,supported_as_named,Moderate,4,21,[Mes00],Retained after audit: the locked genes form a coherent subprocess matching the original module label.,https://app.undermind.ai/projects/4a4c1774-bd88-462d-889b-015f29a373b5?path=/Neuroendocrine%20endocrine%20module%20evidence
6,libido,Libido & sexual function,6.5,Prostanoid signalling,Prostanoid signalling,supported_as_named,Moderate,6,37,[Mes00]; [Lin05],Retained after audit: the locked genes form a coherent subprocess matching the original module label.,https://app.undermind.ai/projects/4a4c1774-bd88-462d-889b-015f29a373b5?path=/Neuroendocrine%20endocrine%20module%20evidence
6,libido,Libido & sexual function,6.6,Chemosensory receptors with candidate social/sexual odor relevance,Chemosensory and pheromonal,renamed_to_remove_human_pheromone_overclaim,Moderate,3,4,[Hen17]; [Wal13],"OR7D4, TAAR5 and VN1R1 have chemosensory evidence, but a proven human 'pheromonal pathway' is not established; the revised label removes that overclaim.",https://app.undermind.ai/projects/4a4c1774-bd88-462d-889b-015f29a373b5?path=/Neuroendocrine%20endocrine%20module%20evidence
7,pregnancy,"Pregnancy, parturition & lactation",7.1,Placental peptide hormones,Placental hormones,renamed_for_mechanistic_precision,High,2,4,[Nap18]; [Pet10b],CSH1 and INSL4 are placenta-associated peptide hormones; the revised label is a precise subprocess description.,https://app.undermind.ai/projects/4a4c1774-bd88-462d-889b-015f29a373b5?path=/Neuroendocrine%20endocrine%20module%20evidence
7,pregnancy,"Pregnancy, parturition & lactation",7.2,Placental angiogenesis and preeclampsia-related vascular signaling,Placental vasculature and preeclampsia,renamed_for_mechanistic_precision,High,6,80,[Nap18]; [Pet10b],"VEGFA/PGF-KDR/FLT1, ENG and HIF1A define placental vascular/hypoxia biology strongly implicated in preeclampsia; the former label was disease-forward rather than process-forward.",https://app.undermind.ai/projects/4a4c1774-bd88-462d-889b-015f29a373b5?path=/Neuroendocrine%20endocrine%20module%20evidence
7,pregnancy,"Pregnancy, parturition & lactation",7.3,Myometrial activation and parturition,Myometrial activation and parturition,supported_as_named,High,4,25,[Ham24]; [Men19],Retained after audit: the locked genes form a coherent subprocess matching the original module label.,https://app.undermind.ai/projects/4a4c1774-bd88-462d-889b-015f29a373b5?path=/Neuroendocrine%20endocrine%20module%20evidence
7,pregnancy,"Pregnancy, parturition & lactation",7.4,Relaxin family,Relaxin family,supported_as_named,High,3,19,[Rel03]; [Pet10b],Retained after audit: the locked genes form a coherent subprocess matching the original module label.,https://app.undermind.ai/projects/4a4c1774-bd88-462d-889b-015f29a373b5?path=/Neuroendocrine%20endocrine%20module%20evidence
7,pregnancy,"Pregnancy, parturition & lactation",7.5,Lactogenesis and milk-protein synthesis,Lactation and milk synthesis,renamed_for_mechanistic_precision,High,3,10,[Nap18]; [Pet10b],CSN2 and LALBA encode milk proteins and ELF5 is a key mammary alveolar/lactogenic regulator; this is more process-specific than 'lactation'.,https://app.undermind.ai/projects/4a4c1774-bd88-462d-889b-015f29a373b5?path=/Neuroendocrine%20endocrine%20module%20evidence
7,pregnancy,"Pregnancy, parturition & lactation",7.6,Trophoblast invasion and implantation,Trophoblast invasion and implantation,supported_as_named,High,7,86,[Pet10b]; [Nap18],Retained after audit: the locked genes form a coherent subprocess matching the original module label.,https://app.undermind.ai/projects/4a4c1774-bd88-462d-889b-015f29a373b5?path=/Neuroendocrine%20endocrine%20module%20evidence
8,dopamine,Dopamine,8.1,D1-like receptors and Gs signalling,D1-like receptors and Gs signalling,supported_as_named,High,3,22,[Nis11]; [Azi20],Retained after audit: the locked genes form a coherent subprocess matching the original module label.,https://app.undermind.ai/projects/4a4c1774-bd88-462d-889b-015f29a373b5?path=/Monoamine%20neuropeptide%20lipid%20module%20evidence
8,dopamine,Dopamine,8.2,D2-like receptors and Gi signalling,D2-like receptors and Gi signalling,supported_as_named,High,9,109,[Bea11]; [Che20],Retained after audit: the locked genes form a coherent subprocess matching the original module label.,https://app.undermind.ai/projects/4a4c1774-bd88-462d-889b-015f29a373b5?path=/Monoamine%20neuropeptide%20lipid%20module%20evidence
8,dopamine,Dopamine,8.3,"Dopamine reuptake, uptake-2 transport and catabolism",Reuptake and catabolism,renamed_for_mechanistic_precision,High,4,77,[Ram02]; [Azi20],"SLC6A3 is the high-affinity dopamine transporter, SLC22A1/2 are polyspecific uptake-2-type transporters, and COMT catabolizes catecholamines; 'reuptake and catabolism' was too uniform.",https://app.undermind.ai/projects/4a4c1774-bd88-462d-889b-015f29a373b5?path=/Monoamine%20neuropeptide%20lipid%20module%20evidence
8,dopamine,Dopamine,8.4,Adenosine modulation of dopaminergic signaling,Adenosine heteromer modulation,renamed_for_mechanistic_precision,High,5,86,[Fer08]; [Fer18b],ADORA receptors and adenosine-metabolism genes modulate dopamine signaling; only part of this biology is specifically explained by receptor heteromers.,https://app.undermind.ai/projects/4a4c1774-bd88-462d-889b-015f29a373b5?path=/Monoamine%20neuropeptide%20lipid%20module%20evidence
8,dopamine,Dopamine,8.5,Postsynaptic integration and plasticity,Postsynaptic integration and plasticity,supported_as_named,High,6,108,[Nis11]; [Bea11],Retained after audit: the locked genes form a coherent subprocess matching the original module label.,https://app.undermind.ai/projects/4a4c1774-bd88-462d-889b-015f29a373b5?path=/Monoamine%20neuropeptide%20lipid%20module%20evidence
8,dopamine,Dopamine,8.6,"Dopaminergic neuron specification, maintenance and proteostasis",Dopaminergic neuron identity and survival,renamed_for_mechanistic_precision,High,7,80,[Fla11]; [Nag07],"EN1/FOXA2/LMX1A/NR4A2/PITX3 specify/maintain dopamine neurons, ALDH1A1 supports subtype metabolism, and SNCA adds proteostasis/synaptic biology; 'identity and survival' was slightly too narrow.",https://app.undermind.ai/projects/4a4c1774-bd88-462d-889b-015f29a373b5?path=/Monoamine%20neuropeptide%20lipid%20module%20evidence
9,serotonin,Serotonin,9.1,"Serotonin synthesis, reuptake and transporter regulation",Synthesis and reuptake,renamed_for_mechanistic_precision,High,4,44,[Wal17]; [Ram02],"TPH1/2 synthesize serotonin, SLC6A4 mediates reuptake, and ITGB3 can regulate SERT trafficking/function rather than synthesis itself.",https://app.undermind.ai/projects/4a4c1774-bd88-462d-889b-015f29a373b5?path=/Monoamine%20neuropeptide%20lipid%20module%20evidence
9,serotonin,Serotonin,9.2,5-HT1 and 5-HT5 receptors (Gi-coupled),5-HT1 and 5-HT5 receptors (Gi-coupled),supported_as_named,High,6,38,[Giu14]; [Azi20],Retained after audit: the locked genes form a coherent subprocess matching the original module label.,https://app.undermind.ai/projects/4a4c1774-bd88-462d-889b-015f29a373b5?path=/Monoamine%20neuropeptide%20lipid%20module%20evidence
9,serotonin,Serotonin,9.3,5-HT2 receptors (Gq-coupled),5-HT2 receptors (Gq-coupled),supported_as_named,High,3,51,[Giu14]; [Azi20],Retained after audit: the locked genes form a coherent subprocess matching the original module label.,https://app.undermind.ai/projects/4a4c1774-bd88-462d-889b-015f29a373b5?path=/Monoamine%20neuropeptide%20lipid%20module%20evidence
9,serotonin,Serotonin,9.4,5-HT3 receptors (ligand-gated ion channel),5-HT3 receptors (ligand-gated ion channel),supported_as_named,High,5,24,[Giu14]; [Azi20],Retained after audit: the locked genes form a coherent subprocess matching the original module label.,https://app.undermind.ai/projects/4a4c1774-bd88-462d-889b-015f29a373b5?path=/Monoamine%20neuropeptide%20lipid%20module%20evidence
9,serotonin,Serotonin,9.5,"5-HT4, 5-HT6 and 5-HT7 receptors (Gs-coupled)","5-HT4, 5-HT6 and 5-HT7 receptors (Gs-coupled)",supported_as_named,High,3,29,[Giu14]; [Azi20],Retained after audit: the locked genes form a coherent subprocess matching the original module label.,https://app.undermind.ai/projects/4a4c1774-bd88-462d-889b-015f29a373b5?path=/Monoamine%20neuropeptide%20lipid%20module%20evidence
9,serotonin,Serotonin,9.6,Serotonergic neuron identity,Serotonergic neuron identity,supported_as_named,High,6,62,[Spe17]; [Fla11],Retained after audit: the locked genes form a coherent subprocess matching the original module label.,https://app.undermind.ai/projects/4a4c1774-bd88-462d-889b-015f29a373b5?path=/Monoamine%20neuropeptide%20lipid%20module%20evidence
9,serotonin,Serotonin,9.7,Transcriptional control of HTR1A and SLC6A4,Transcriptional control of HTR1A and SLC6A4,supported_as_named,High,4,53,[Spe17]; [Giu14],Retained after audit: the locked genes form a coherent subprocess matching the original module label.,https://app.undermind.ai/projects/4a4c1774-bd88-462d-889b-015f29a373b5?path=/Monoamine%20neuropeptide%20lipid%20module%20evidence
10,noradrenaline,Noradrenaline & sympathetic nervous system,10.1,"Noradrenaline synthesis, vesicular storage and clearance","Synthesis, storage and clearance",renamed_for_mechanistic_precision,High,6,45,[Nag07]; [Azi20],"DBH/PNMT synthesize catecholamines, SLC18A1 mediates vesicular monoamine storage, SLC6A2 clears norepinephrine, and chromogranins organize secretory granules.",https://app.undermind.ai/projects/4a4c1774-bd88-462d-889b-015f29a373b5?path=/Monoamine%20neuropeptide%20lipid%20module%20evidence
10,noradrenaline,Noradrenaline & sympathetic nervous system,10.2,Alpha-1 adrenoceptors,Alpha-1 adrenoceptors,supported_as_named,High,3,26,[Azi20]; [Lef98],Retained after audit: the locked genes form a coherent subprocess matching the original module label.,https://app.undermind.ai/projects/4a4c1774-bd88-462d-889b-015f29a373b5?path=/Monoamine%20neuropeptide%20lipid%20module%20evidence
10,noradrenaline,Noradrenaline & sympathetic nervous system,10.3,α2-adrenoceptors and inhibitory/autoreceptor feedback,Alpha-2 adrenoceptors (autoreceptor feedback),renamed_for_mechanistic_precision,High,3,11,[Sta01]; [Azi20],"α2 receptors are Gi/o-coupled inhibitory receptors; α2A is a canonical autoreceptor but the family also acts heterosynaptically/postsynaptically, so 'autoreceptor' alone overgeneralized.",https://app.undermind.ai/projects/4a4c1774-bd88-462d-889b-015f29a373b5?path=/Monoamine%20neuropeptide%20lipid%20module%20evidence
10,noradrenaline,Noradrenaline & sympathetic nervous system,10.4,Beta adrenoceptors,Beta adrenoceptors,supported_as_named,High,3,14,[Azi20]; [Lef98],Retained after audit: the locked genes form a coherent subprocess matching the original module label.,https://app.undermind.ai/projects/4a4c1774-bd88-462d-889b-015f29a373b5?path=/Monoamine%20neuropeptide%20lipid%20module%20evidence
10,noradrenaline,Noradrenaline & sympathetic nervous system,10.5,Neuropeptide Y co-transmission,Neuropeptide Y co-transmission,supported_as_named,Moderate,5,34,[Azi20],Retained after audit: the locked genes form a coherent subprocess matching the original module label.,https://app.undermind.ai/projects/4a4c1774-bd88-462d-889b-015f29a373b5?path=/Monoamine%20neuropeptide%20lipid%20module%20evidence
10,noradrenaline,Noradrenaline & sympathetic nervous system,10.6,Sympathoadrenal development,Sympathoadrenal development,supported_as_named,High,3,18,[Fla11]; [Nag07],Retained after audit: the locked genes form a coherent subprocess matching the original module label.,https://app.undermind.ai/projects/4a4c1774-bd88-462d-889b-015f29a373b5?path=/Monoamine%20neuropeptide%20lipid%20module%20evidence
10,noradrenaline,Noradrenaline & sympathetic nervous system,10.7,Cholinergic autonomic signaling,Parasympathetic counterbalance,renamed_for_mechanistic_precision,High,8,94,[Azi20]; [Lef98],"The set contains acetylcholine synthesis/clearance, muscarinic receptors, nicotinic ganglionic receptors and choline uptake; several components are shared across autonomic divisions and are not exclusively parasympathetic.",https://app.undermind.ai/projects/4a4c1774-bd88-462d-889b-015f29a373b5?path=/Monoamine%20neuropeptide%20lipid%20module%20evidence
