system_id,system,gene,w_g_draft,role,confidence,rationale
12,Opioid/melanocortin,OPRK1,1,transducer-with-caveat,medium,kappa; opioid signalling though hedonically opposite
12,Opioid/melanocortin,OPRL1,0,ambiguous,medium,NOP receptor; anti-opioid actions reported
12,Opioid/melanocortin,PNOC,0,ambiguous,medium,nociceptin precursor; anti-opioid arm
12,Opioid/melanocortin,MME,-1,brake,high,neprilysin degrades enkephalins
12,Opioid/melanocortin,MC1R,0,off-axis,medium,melanocortin arm; not opioid tone
24,Immune/inflammation,TNF,1,driver,high,pro-inflammatory
24,Immune/inflammation,IL6,1,driver,high,pro-inflammatory
24,Immune/inflammation,IL1B,1,driver,high,pro-inflammatory
24,Immune/inflammation,IL18,1,driver,medium,pro-inflammatory
24,Immune/inflammation,IL12RB1,1,driver,medium,Th1 axis
24,Immune/inflammation,IFNG,1,driver,high,Th1 effector
24,Immune/inflammation,NFKB1,1,driver,high,master pro-inflammatory TF
24,Immune/inflammation,CRP,1,driver,medium,acute phase
24,Immune/inflammation,IL10,-1,brake,high,anti-inflammatory
24,Immune/inflammation,TGFB1,-1,brake,medium,regulatory
24,Immune/inflammation,FOXP3,-1,brake,high,Treg master TF
24,Immune/inflammation,IL4,0,axis-dependent,medium,Th2; sign depends on inflammatory-axis definition
24,Immune/inflammation,HLA-A,0,capacity,low,antigen presentation capacity; not tone
24,Immune/inflammation,HLA-B,0,capacity,low,antigen presentation
24,Immune/inflammation,HLA-C,0,capacity,low,antigen presentation
24,Immune/inflammation,HLA-DPA1,0,capacity,low,class II presentation
24,Immune/inflammation,HLA-DPB1,0,capacity,low,class II presentation
24,Immune/inflammation,HLA-DQB2,0,capacity,low,class II presentation
24,Immune/inflammation,HLA-DMB,0,capacity,low,class II peptide loading
24,Immune/inflammation,HLA-F,0,capacity,low,non-classical
24,Immune/inflammation,HLA-G,-1,brake,medium,tolerogenic non-classical class I
24,Immune/inflammation,HLA-L,0,capacity,low,pseudogene
